indicator,level,group,group2,estimate,share
total_pop,Greater Waterbury,total_population,NA,335773,NA
total_pop,Waterbury,total_population,NA,109211,NA
total_pop,Suburbs,total_population,NA,226562,NA
race,Greater Waterbury,total,NA,335773,NA
race,Greater Waterbury,black_latino,NA,78562,0.234
race,Greater Waterbury,white,NA,241070,0.718
race,Waterbury,total,NA,109211,NA
race,Waterbury,black_latino,NA,59913,0.549
race,Waterbury,white,NA,43056,0.394
race,Suburbs,total,NA,226562,NA
race,Suburbs,black_latino,NA,18649,0.082
race,Suburbs,white,NA,198014,0.874
immigration,Greater Waterbury,total_population,NA,335773,NA
immigration,Greater Waterbury,foreign_born,NA,36779,0.11
immigration,Waterbury,total_population,NA,109211,NA
immigration,Waterbury,foreign_born,NA,17428,0.16
immigration,Suburbs,total_population,NA,226562,NA
immigration,Suburbs,foreign_born,NA,19351,0.085
poverty,Greater Waterbury,determined,NA,329989,NA
poverty,Greater Waterbury,low_income,NA,84772,0.257
poverty,Greater Waterbury,poverty,NA,40151,0.122
poverty,Waterbury,determined,NA,107447,NA
poverty,Waterbury,low_income,NA,51861,0.483
poverty,Waterbury,poverty,NA,27291,0.254
poverty,Suburbs,determined,NA,222542,NA
poverty,Suburbs,low_income,NA,32911,0.148
poverty,Suburbs,poverty,NA,12860,0.058
pov_age,Greater Waterbury,kids,determined,74677,NA
pov_age,Greater Waterbury,kids,low_income,25751,0.345
pov_age,Greater Waterbury,kids,poverty,13282,0.178
pov_age,Greater Waterbury,seniors,determined,51988,NA
pov_age,Greater Waterbury,seniors,low_income,13013,0.25
pov_age,Greater Waterbury,seniors,poverty,4270,0.082
pov_age,Waterbury,kids,determined,27827,NA
pov_age,Waterbury,kids,low_income,18483,0.664
pov_age,Waterbury,kids,poverty,10522,0.378
pov_age,Waterbury,seniors,determined,12634,NA
pov_age,Waterbury,seniors,low_income,5247,0.415
pov_age,Waterbury,seniors,poverty,1940,0.154
pov_age,Suburbs,kids,determined,46850,NA
pov_age,Suburbs,kids,low_income,7268,0.155
pov_age,Suburbs,kids,poverty,2760,0.059
pov_age,Suburbs,seniors,determined,39354,NA
pov_age,Suburbs,seniors,low_income,7766,0.197
pov_age,Suburbs,seniors,poverty,2330,0.059
tenure,Greater Waterbury,total_hh,NA,124448,NA
tenure,Greater Waterbury,owned,NA,86294,0.693
tenure,Waterbury,total_hh,NA,39735,NA
tenure,Waterbury,owned,NA,17367,0.437
